NA + 50uM NB65 + TBS,
Time (s),Intensity (a.u.)
69.5,84.54048157
69.70000458,85.64553833
69.90000153,85.6974411
70.09999847,85.05175018
70.30000305,85.77204895
70.5,85.25334167
70.70000458,86.22268677
70.90000153,85.13678741
71.09999847,86.92333221
71.30000305,85.44519043
71.5,86.07966614
71.70000458,85.71782684
71.90000153,85.56860352
72.09999847,85.92327881
72.30000305,86.24091339
72.5,85.84916687
72.70000458,86.1479187
72.90000153,85.19378662
73.09999847,85.95296478
73.30000305,86.16542816
73.5,85.86364746
73.70000458,86.00435638
73.90000153,86.47132111
74.09999847,86.11922455
74.30000305,86.04548645
74.5,85.66913605
74.70000458,84.79715729
74.90000153,86.65737915
75.09999847,86.88108826
75.30000305,86.42399597
75.5,86.27548218
75.70000458,86.81390381
75.90000153,87.70100403
76.09999847,86.40914917
76.30000305,87.10341644
76.5,85.49307251
76.70000458,87.07319641
76.90000153,86.47871399
77.09999847,87.38484955
77.30000305,85.82003021
77.5,87.43991852
77.70000458,86.98131561
77.90000153,87.43380737
78.09999847,86.45718384
78.30000305,86.06617737
78.5,86.22293854
78.70000458,87.08226013
78.90000153,87.05226898
79.09999847,86.9023056
79.30000305,87.32987976
79.5,86.8095932
79.70000458,87.86513519
79.90000153,86.57334137
80.09999847,86.44198608
80.30000305,86.61629486
80.5,86.72855377
80.70000458,86.7179718
80.90000153,86.21279144
81.09999847,87.19342804
81.30000305,87.12019348
81.5,86.87991333
81.70000458,87.2767868
81.90000153,86.26083374
82.09999847,88.7173996
82.30000305,86.53474426
82.5,87.765625
82.70000458,87.06475067
82.90000153,87.52507782
83.09999847,86.36810303
83.30000305,88.08916473
83.5,87.64706421
83.70000458,86.57852936
83.90000153,87.42004395
84.09999847,88.34348297
84.30000305,87.29342651
84.5,87.53346252
84.70000458,87.99720001
84.90000153,87.43328857
85.09999847,87.51872253
85.30000305,87.20172882
85.5,87.06030273
85.70000458,87.64138031
85.90000153,88.29401398
86.09999847,88.59949493
86.30000305,87.64233398
86.5,87.72058868
86.70000458,88.22318268
86.90000153,89.10806274
87.09999847,88.4961319
87.30000305,88.87257385
87.5,89.12826538
87.70000458,88.43922424
87.90000153,88.11617279
88.09999847,88.47615814
88.30000305,87.31368256
88.5,88.71929932
88.70000458,88.9874115
88.90000153,88.06359863
89.09999847,87.44226074
89.30000305,89.24754333
89.5,88.57724762
89.70000458,87.83409882
89.90000153,89.27428436
90.09999847,89.66719055
90.30000305,88.13397217
90.5,89.00669098
90.70000458,88.27618408
90.90000153,88.26667023
91.09999847,88.64328766
91.30000305,89.07843018
91.5,90.0645752
91.70000458,89.11961365
91.90000153,89.08558655
92.09999847,88.80936432
92.30000305,88.47489929
92.5,89.54206085
92.70000458,88.40600586
92.90000153,86.9249115
93.09999847,88.58917999
93.30000305,88.10726929
93.5,87.95038605
93.70000458,88.32762146
93.90000153,88.32929993
94.09999847,87.85389709
94.30000305,88.19193268
94.5,89.20298767
94.70000458,89.2292099
94.90000153,89.37739563
95.09999847,88.42658234
95.30000305,88.658638
95.5,89.4990387
95.70000458,88.49879456
95.90000153,88.39668274
96.09999847,87.63300323
96.30000305,88.93031311
96.5,89.06141663
96.70000458,88.9233551
96.90000153,89.24471283
97.09999847,89.66890717
97.30000305,88.86219025
97.5,89.17118835
97.70000458,88.52806091
97.90000153,88.73920441
98.09999847,89.17787933
98.30000305,88.99829102
98.5,88.60812378
98.70000458,88.8540802
98.90000153,89.46354675
99.09999847,88.37034607
99.30000305,89.56446075
99.5,87.76512146
99.70000458,88.40776062
99.90000153,89.85245514
100.0999985,88.85216522
100.3000031,89.1661911
100.5,90.40084076
100.7000046,88.83131409
100.9000015,85.61264801
101.0999985,82.51121521
101.3000031,87.86762238
101.5,86.40445709
101.7000046,105.456871
101.9000015,102.4404831
102.0999985,102.0225906
102.3000031,105.759285
102.5,104.4594269
102.7000046,105.635788
102.9000015,105.7243042
