OA + 50uM NB65 + TBS (5 min),
Time (s),Intensity (a.u.)
103.9000015,104.6610031
104.0999985,105.1458054
104.3000031,106.1363144
104.5,104.2566757
104.7000046,105.7739639
104.9000015,105.6513977
105.0999985,105.7823334
105.3000031,104.4417191
105.5,106.0171967
105.7000046,105.311554
105.9000015,105.9095154
106.0999985,105.6274872
106.3000031,105.2814255
106.5,105.626915
106.7000046,105.6503754
106.9000015,104.6965027
107.0999985,105.4492645
107.3000031,105.8394928
107.5,104.1353531
107.7000046,106.509758
107.9000015,104.5951614
108.0999985,105.442009
108.3000031,105.3344269
108.5,105.804985
108.7000046,106.049263
108.9000015,107.237442
109.0999985,105.6726379
109.3000031,105.3121185
109.5,105.9385986
109.7000046,106.4140015
109.9000015,105.4192276
110.0999985,105.5886612
110.3000031,104.5169067
110.5,105.924324
110.7000046,105.7582932
110.9000015,105.6641846
111.0999985,105.4537048
111.3000031,105.5535583
111.5,106.9027252
111.7000046,106.7847519
111.9000015,105.729332
112.0999985,106.1818542
112.3000031,106.0516968
112.5,106.3007813
112.7000046,106.9462509
112.9000015,105.9431839
113.0999985,105.8718796
113.3000031,106.3083649
113.5,106.8980484
113.7000046,106.9467239
113.9000015,107.8502808
114.0999985,106.9249573
114.3000031,106.2015686
114.5,106.4653244
114.7000046,106.9371567
114.9000015,106.871521
115.0999985,106.1427002
115.3000031,105.4815903
115.5,107.2874527
115.7000046,106.0603027
115.9000015,106.8117142
116.0999985,107.0157318
116.3000031,106.3706055
116.5,105.2974243
116.7000046,106.18853
116.9000015,106.1079254
117.0999985,106.6944504
117.3000031,106.407135
117.5,106.7230606
117.7000046,107.0691757
117.9000015,105.9805908
118.0999985,103.818512
118.3000031,107.7100449
118.5,107.6372375
118.7000046,105.8856659
118.9000015,105.541069
119.0999985,105.7479248
119.3000031,106.4434814
119.5,106.9400787
119.7000046,106.6388321
119.9000015,108.1215057
120.0999985,106.8583145
120.3000031,107.2149353
120.5,107.748642
120.7000046,106.7020874
120.9000015,106.9192123
121.0999985,107.6293869
121.3000031,106.3988037
121.5,106.2469482
121.7000046,106.812912
121.9000015,107.6077042
122.0999985,107.2668686
122.3000031,105.8371811
122.5,106.3419571
122.7000046,108.2200089
122.9000015,106.9522018
123.0999985,108.6315002
123.3000031,106.5462418
123.5,107.1522217
123.7000046,107.9954834
123.9000015,106.4260178
124.0999985,105.0182343
124.3000031,107.1664124
124.5,106.7909393
124.7000046,106.5565414
124.9000015,107.9273758
125.0999985,107.9925308
125.3000031,107.2706375
125.5,107.1756058
125.7000046,107.2007217
125.9000015,106.2342072
126.0999985,106.8753052
126.3000031,107.2475433
126.5,107.9682617
126.7000046,108.300293
126.9000015,106.3509293
127.0999985,106.3496475
127.3000031,108.056221
127.5,106.2391205
127.7000046,107.1939774
127.9000015,106.4857407
128.1000061,107.0394821
128.3000031,105.8949127
128.5,107.4535522
128.6999969,105.2284698
128.9000092,104.5713272
129.1000061,106.9055176
129.3000031,107.1096802
129.5,107.5389252
129.6999969,106.7363968
129.9000092,106.3276825
130.1000061,106.0269623
130.3000031,106.5104294
130.5,106.0859528
130.6999969,107.3575745
130.9000092,106.3443069
131.1000061,107.0035095
131.3000031,107.2882919
131.5,105.3317947
131.6999969,105.9892654
131.9000092,106.1000214
132.1000061,106.3366852
132.3000031,105.6121597
132.5,106.1650314
132.6999969,106.2920227
132.9000092,106.6216736
133.1000061,106.1238098
133.3000031,107.5993805
133.5,106.9710007
133.6999969,106.5935059
133.9000092,106.8510666
134.1000061,106.5204773
134.3000031,105.8059387
134.5,106.9582367
134.6999969,107.9513855
134.9000092,106.7719879
135.1000061,107.894249
135.3000031,106.2780533
135.5,108.0976944
135.6999969,106.9643402
135.9000092,108.3938675
136.1000061,107.2731018
136.3000031,108.7129517
136.5,108.5091782
136.6999969,108.9115906
136.9000092,108.5302811
137.1000061,110.0150757
137.3000031,108.2389832
137.5,107.0441971
137.6999969,108.1231384
137.9000092,110.1116486
138.1000061,107.704216
138.3000031,108.015892
138.5,106.6913757
138.6999969,107.7875748
138.9000092,107.1213074
139.1000061,107.2737274
139.3000031,108.9317627
139.5,107.4992752
139.6999969,107.3904343
139.9000092,106.6852417
140.1000061,106.9467926
