GDP + 50uM NB65 + TBS,
Time (s),Intensity (a.u.)
33.29999924,79.662117
33.5,78.62693787
33.70000076,80.90536499
33.90000153,80.3868103
34.10000229,80.32364655
34.29999924,80.13156891
34.5,80.93860626
34.70000076,79.87200928
34.90000153,80.49482727
35.10000229,79.9098587
35.29999924,80.81552124
35.5,80.20437622
35.70000076,79.90415192
35.90000153,81.04602051
36.10000229,80.28372192
36.29999924,79.32897186
36.5,79.57400513
36.70000076,79.90187836
36.90000153,79.99958801
37.10000229,79.80765533
37.29999924,79.55738831
37.5,79.76058197
37.70000076,80.06117249
37.90000153,80.07044983
38.10000229,80.98762512
38.29999924,79.7322464
38.5,79.11258698
38.70000076,80.97515869
38.90000153,80.54444122
39.10000229,81.2384491
39.29999924,80.29152679
39.5,80.89657593
39.70000076,80.1558609
39.90000153,81.07506561
40.10000229,79.09505463
40.29999924,79.17467499
40.5,79.91545868
40.70000076,72.34163666
40.90000153,74.42636871
41.10000229,86.36115265
41.29999924,81.3301239
41.5,81.85640717
41.70000076,82.56778717
41.90000153,82.04907227
42.10000229,82.12264252
42.29999924,82.16377258
42.5,82.41944122
42.70000076,81.65057373
42.90000153,80.62726593
43.10000229,80.76818085
43.29999924,84.04792023
43.5,83.77579498
43.70000076,85.307724
43.90000153,85.2922821
44.10000229,83.63729858
44.29999924,83.96593475
44.5,82.24976349
44.70000076,80.85189056
44.90000153,81.17732239
45.10000229,80.60769653
45.29999924,80.81838226
45.5,81.61168671
45.70000076,81.06806946
45.90000153,82.12805176
46.10000229,81.9070282
46.29999924,80.95858765
46.5,81.27748871
46.70000076,82.17926025
46.90000153,81.01515198
47.10000229,81.424263
47.29999924,80.71937561
47.5,81.23370361
47.70000076,81.8793869
47.90000153,81.53374481
48.10000229,81.10357666
48.29999924,82.08378601
48.5,81.84322357
48.70000076,82.0760498
48.90000153,81.08135223
49.10000229,81.72892761
49.29999924,81.91545105
49.5,81.97190857
49.70000076,81.13224792
49.90000153,81.49288177
50.10000229,80.7478714
50.29999924,80.37037659
50.5,81.69506836
50.70000076,80.60393524
50.90000153,81.26780701
51.10000229,81.467453
51.29999924,81.45787811
51.5,80.80564117
51.70000076,82.14083862
51.90000153,82.31877136
52.10000229,81.31432343
52.29999924,82.32901001
52.5,81.63585663
52.70000076,81.59532928
52.90000153,81.71609497
53.10000229,81.95276642
53.29999924,80.92917633
53.5,81.13633728
53.70000076,80.31093597
53.90000153,82.75467682
54.10000229,81.60646057
54.29999924,80.27759552
54.5,81.39826965
54.70000076,81.88553619
54.90000153,81.993927
55.10000229,80.99130249
55.29999924,81.52914429
55.5,80.46386719
55.70000076,80.86474609
55.90000153,81.11740112
56.10000229,81.9522171
56.29999924,81.53919983
56.5,81.61676025
56.70000076,81.86127472
56.90000153,82.16221619
57.10000229,82.90303802
57.29999924,83.28809357
57.5,82.54238892
57.70000076,81.90593719
57.90000153,82.53913879
58.10000229,81.71570587
58.29999924,82.36252594
58.5,81.75448608
58.70000076,82.89769745
58.90000153,82.10048676
59.10000229,82.80602264
59.29999924,82.59262085
59.5,82.56264496
59.70000076,83.26848602
59.90000153,82.62738037
60.10000229,82.01708984
60.29999924,81.48192596
60.5,82.6495285
60.70000076,83.33333588
60.90000153,82.68390656
61.10000229,80.79754639
61.29999924,82.37696075
61.5,83.1978302
61.70000076,82.67352295
61.90000153,81.92280579
62.10000229,82.4605484
62.29999924,83.05376434
62.5,82.52864075
62.70000076,82.08706665
62.90000153,82.33463287
63.10000229,82.77571106
63.29999924,83.49653625
63.5,82.77281952
63.70000076,83.76541138
63.90000153,81.88786316
64.09999847,82.37528992
64.30000305,82.46851349
64.5,82.33766937
64.70000458,81.95731354
64.90000153,82.8986969
65.09999847,82.85626221
65.30000305,83.554245
65.5,82.54290009
65.70000458,83.16290283
65.90000153,83.13987732
