NA + 10ul TBS,
Time (s),Intensity (a.u.)
104.9000015,105.8371887
105.0999985,105.7380295
105.3000031,104.9432068
105.5,106.8473129
105.7000046,106.724144
105.9000015,106.3549957
106.0999985,106.0623322
106.3000031,107.9697571
106.5,108.0033188
106.7000046,106.6539536
106.9000015,108.5586319
107.0999985,109.1919022
107.3000031,110.7847748
107.5,108.1662445
107.7000046,109.4711609
107.9000015,108.3634415
108.0999985,109.544838
108.3000031,109.1329651
108.5,109.6655197
108.7000046,108.3055038
108.9000015,108.4834442
109.0999985,110.3011703
109.3000031,109.4915237
109.5,109.0269394
109.7000046,108.7584152
109.9000015,110.1766739
110.0999985,109.2538223
110.3000031,110.2226639
110.5,109.7577057
110.7000046,109.3080063
110.9000015,110.1628189
111.0999985,109.6326447
111.3000031,110.3008499
111.5,109.4327774
111.7000046,110.5288315
111.9000015,110.4423828
112.0999985,109.9914932
112.3000031,111.0162811
112.5,111.1066437
112.7000046,109.9078445
112.9000015,109.3147125
113.0999985,110.7055359
113.3000031,109.104187
113.5,110.4143066
113.7000046,112.2428589
113.9000015,110.2408447
114.0999985,111.4541702
114.3000031,111.8071899
114.5,110.6948166
114.7000046,111.1476059
114.9000015,111.1792908
115.0999985,110.6912155
115.3000031,111.8479538
115.5,110.4453812
115.7000046,110.8424301
115.9000015,111.3270493
116.0999985,111.020668
116.3000031,109.536644
116.5,111.8023529
116.7000046,111.7431717
116.9000015,112.0911636
117.0999985,111.263916
117.3000031,111.780426
117.5,110.0330963
117.7000046,111.127243
117.9000015,111.1022873
118.0999985,110.5064468
118.3000031,110.5012054
118.5,110.9319458
118.7000046,111.069725
118.9000015,110.6372147
119.0999985,110.8496017
119.3000031,112.2838135
119.5,110.8827362
119.7000046,112.1525421
119.9000015,110.9839401
120.0999985,111.7025528
120.3000031,110.9481583
120.5,111.9528809
120.7000046,112.8347931
120.9000015,111.6118469
121.0999985,111.2548599
121.3000031,111.6104736
121.5,112.048317
121.7000046,112.0377655
121.9000015,111.458992
122.0999985,110.8497925
122.3000031,112.177948
122.5,111.4293365
122.7000046,111.5371246
122.9000015,112.2829666
123.0999985,112.4765549
123.3000031,112.1755676
123.5,110.8119354
123.7000046,111.2894287
123.9000015,110.9772415
124.0999985,112.134819
124.3000031,112.4559097
124.5,111.4387054
124.7000046,110.4860001
124.9000015,112.5988388
125.0999985,111.258606
125.3000031,111.759285
125.5,112.2988892
125.7000046,110.885704
125.9000015,112.8849716
126.0999985,110.9673004
126.3000031,112.8406219
126.5,111.1622696
126.7000046,111.0886078
126.9000015,112.1979218
127.0999985,111.6432648
127.3000031,111.796814
127.5,111.4865265
127.7000046,111.665596
127.9000015,111.672348
128.1000061,112.3702545
128.3000031,112.0969162
128.5,111.7488937
128.6999969,112.0657883
128.9000092,111.4135895
129.1000061,112.2696686
129.3000031,111.9093018
129.5,111.9501495
129.6999969,112.0800018
129.9000092,112.1078033
130.1000061,111.203598
130.3000031,111.5484924
130.5,112.8405838
130.6999969,111.2866516
130.9000092,113.2199936
131.1000061,112.0813217
131.3000031,111.82267
131.5,112.2150345
131.6999969,112.7651825
131.9000092,111.9666367
132.1000061,112.4933014
132.3000031,112.9149551
132.5,110.4804688
132.6999969,112.0357361
132.9000092,111.3362808
133.1000061,110.8142853
133.3000031,112.3422852
133.5,112.3522034
133.6999969,112.6509399
133.9000092,112.6063385
134.1000061,111.331543
134.3000031,112.7167664
134.5,111.5233612
134.6999969,111.6920166
134.9000092,113.1764603
135.1000061,112.209816
135.3000031,112.1838837
135.5,112.5219803
135.6999969,111.6821136
135.9000092,112.2397614
136.1000061,112.6278152
136.3000031,111.833786
136.5,113.2469482
136.6999969,113.3632278
136.9000092,111.7301788
137.1000061,113.640892
137.3000031,111.8253326
137.5,111.6573715
137.6999969,112.6388779
137.9000092,112.9293747
138.1000061,111.9521942
138.3000031,112.2135086
138.5,111.4453812
138.6999969,112.4370193
138.9000092,113.0008392
139.1000061,112.7877197
139.3000031,111.4236374
139.5,112.4776001
139.6999969,112.7567596
139.9000092,111.2880325
140.1000061,111.4300537
