OA,
Time (s),Intensity (a.u.)
44.70000076,91.72463989
44.90000153,91.72193909
45.10000229,91.18894196
45.29999924,92.77867889
45.5,92.07113647
45.70000076,91.29264832
45.90000153,90.23258972
46.10000229,91.93151093
46.29999924,93.17086029
46.5,92.56536102
46.70000076,93.49277496
46.90000153,93.03888702
47.10000229,92.68447113
47.29999924,92.07125854
47.5,92.33522797
47.70000076,92.21180725
47.90000153,92.75418854
48.10000229,93.20637512
48.29999924,93.95802307
48.5,93.93332672
48.70000076,92.57368469
48.90000153,93.87039185
49.10000229,92.52983856
49.29999924,93.2504425
49.5,93.37570953
49.70000076,93.89403534
49.90000153,92.3526535
50.10000229,93.74460602
50.29999924,93.21033478
50.5,93.75687408
50.70000076,93.85819244
50.90000153,95.09333038
51.10000229,94.39657593
51.29999924,93.54236603
51.5,94.27632904
51.70000076,94.18223572
51.90000153,93.08226776
52.10000229,94.37028503
52.29999924,94.88261414
52.5,94.55363464
52.70000076,94.89750671
52.90000153,94.98049164
53.10000229,95.56109619
53.29999924,95.30480957
53.5,95.26615906
53.70000076,94.96047974
53.90000153,95.25102997
54.10000229,95.46568298
54.29999924,96.08164978
54.5,95.28181458
54.70000076,95.31306458
54.90000153,96.08393097
55.10000229,96.1289444
55.29999924,95.53205872
55.5,96.52229309
55.70000076,97.48769379
55.90000153,96.93319702
56.10000229,96.71958923
56.29999924,96.8935318
56.5,97.55341339
56.70000076,97.84615326
56.90000153,97.06078339
57.10000229,97.03020477
57.29999924,98.61627197
57.5,98.08268738
57.70000076,97.39373016
57.90000153,98.78728485
58.10000229,98.68287659
58.29999924,97.87207794
58.5,99.28009796
58.70000076,98.32730103
58.90000153,99.89048004
59.10000229,99.25015259
59.29999924,100.564743
59.5,99.21956635
59.70000076,99.97076416
59.90000153,99.09433746
60.10000229,99.98455048
60.29999924,99.54172516
60.5,99.74544525
60.70000076,100.5884399
60.90000153,99.9950943
61.10000229,99.24069977
61.29999924,99.85870361
61.5,99.93657684
61.70000076,101.0913315
61.90000153,100.6036377
62.10000229,100.2155685
62.29999924,100.8648758
62.5,100.453476
62.70000076,100.1039276
62.90000153,99.73487854
63.10000229,101.6814651
63.29999924,100.2201691
63.5,100.653038
63.70000076,100.9252014
63.90000153,100.8268738
64.09999847,100.102272
64.30000305,100.4377365
64.5,100.8795319
64.70000458,100.7848816
64.90000153,100.6196823
65.09999847,100.522522
65.30000305,100.7098846
65.5,100.1749802
65.70000458,101.736412
65.90000153,102.0148392
66.09999847,100.3583221
66.30000305,101.2145004
66.5,100.869339
66.70000458,100.1932144
66.90000153,99.79475403
67.09999847,100.8866501
67.30000305,101.0263138
67.5,100.6555481
67.70000458,99.6977005
67.90000153,101.404129
68.09999847,101.146286
68.30000305,100.9977341
68.5,100.5671005
68.70000458,101.7429428
68.90000153,100.3445358
69.09999847,100.9076309
69.30000305,101.688324
69.5,101.1659393
69.70000458,101.3075638
69.90000153,102.6912384
70.09999847,102.5281296
70.30000305,102.7394485
70.5,103.009285
70.70000458,102.2691269
70.90000153,102.7538834
71.09999847,102.349823
71.30000305,102.665329
71.5,101.8813477
71.70000458,103.3347244
71.90000153,103.2511292
72.09999847,103.5642853
72.30000305,103.1520615
72.5,102.1591187
72.70000458,103.0363159
72.90000153,103.173027
73.09999847,104.0168152
73.30000305,103.6029434
73.5,103.2964096
73.70000458,103.6662598
73.90000153,103.8490829
74.09999847,103.9977417
74.30000305,103.8765717
74.5,104.0519028
74.70000458,103.1536865
74.90000153,102.147316
