Capacity Cal,
Time (s),Intensity (a.u.)
70.5,0.083775774
70.70000458,0.155887887
70.90000153,0.115372919
71.09999847,0.157695547
71.30000305,0.220720395
71.5,0.205326155
71.70000458,0.178462699
71.90000153,0.062006533
72.09999847,0.105681434
72.30000305,0.146807462
72.5,0.210417777
72.70000458,0.112995513
72.90000153,0.062442765
73.09999847,0.114358187
73.30000305,0.183439493
73.5,0.08187075
73.70000458,0.030901393
73.90000153,0.17714791
74.09999847,0.11442481
74.30000305,0.226358399
74.5,0.05277212
74.70000458,0.010356577
74.90000153,0.125308052
75.09999847,0.206466526
75.30000305,0.112128198
75.5,0.02064516
75.70000458,0.114778213
75.90000153,0.051774308
76.09999847,0.168555901
76.30000305,-0.021165814
76.5,-0.021097047
76.70000458,0.157397687
76.90000153,0
77.09999847,0.146938428
77.30000305,0.123093344
77.5,0.164198563
77.70000458,0.135637075
77.90000153,0.179972261
78.09999847,0.092411004
78.30000305,0.094472319
78.5,0.125372201
78.70000458,0.207623944
78.90000153,0.072631441
79.09999847,0.073052876
79.30000305,0.124291793
79.5,0.145648241
79.70000458,0.196431145
79.90000153,0.124329135
80.09999847,0.084841028
80.30000305,0.199146822
80.5,0.216682479
80.70000458,0.041363336
80.90000153,0.205869332
81.09999847,0.093400717
81.30000305,0.062343489
81.5,0.1156203
81.70000458,0.167555064
81.90000153,0.114994198
82.09999847,0.137679771
82.30000305,0.133925349
82.5,0.021041336
82.70000458,0.09382721
82.90000153,0.139111832
83.09999847,0.187973857
83.30000305,0.154607311
83.5,0.10362909
83.70000458,0.19450672
83.90000153,0.123840287
84.09999847,0.155210406
84.30000305,0.031092593
84.5,0.103097037
84.70000458,0.052000999
84.90000153,0.13416031
85.09999847,0.122551531
85.30000305,0
85.5,0.133489415
85.70000458,0.06165228
85.90000153,0.175505608
86.09999847,0.144456491
86.30000305,0.010219828
86.5,0.123228587
86.70000458,0.183263928
86.90000153,0.143168315
87.09999847,0.040756024
87.30000305,0.153939307
87.5,0.153760999
87.70000458,0.134150609
87.90000153,0.143941119
88.09999847,0.071214929
88.30000305,0.143840551
88.5,-0.010735258
88.70000458,0.265364617
