OA + GDP + TBS,
Time (s),Intensity (a.u.)
98.90000153,101.0951157
99.09999847,102.0221481
99.30000305,99.81918335
99.5,100.2055206
99.70000458,100.3931351
99.90000153,102.6243362
100.0999985,100.2703629
100.3000031,92.8752594
100.5,86.31976318
100.7000046,86.5477829
100.9000015,98.01110077
101.0999985,98.50269318
101.3000031,96.85171509
101.5,97.77910614
101.7000046,96.36167145
101.9000015,99.43283844
102.0999985,99.62316895
102.3000031,100.0244904
102.5,99.1967392
102.7000046,100.9475403
102.9000015,99.59553528
103.0999985,100.8137665
103.3000031,100.9186249
103.5,101.6151657
103.7000046,101.1196442
103.9000015,101.8183212
104.0999985,103.4596558
104.3000031,102.382164
104.5,102.111618
104.7000046,104.2652588
104.9000015,105.083786
105.0999985,106.4121933
105.3000031,104.0746002
105.5,103.3952789
105.7000046,103.7732925
105.9000015,103.5562744
106.0999985,102.5449753
106.3000031,103.2972794
106.5,101.8336716
106.7000046,102.6309357
106.9000015,102.6660919
107.0999985,102.5922928
107.3000031,104.2054672
107.5,104.6326675
107.7000046,103.9620667
107.9000015,103.2898712
108.0999985,104.1641159
108.3000031,102.9116287
108.5,104.1660385
108.7000046,104.2713089
108.9000015,104.7154007
109.0999985,103.9888153
109.3000031,102.9371185
109.5,104.9530487
109.7000046,103.8799973
109.9000015,104.6371994
110.0999985,104.5885086
110.3000031,103.9839249
110.5,103.0301132
110.7000046,103.4675827
110.9000015,105.5963745
111.0999985,103.835289
111.3000031,104.1396561
111.5,104.1415405
111.7000046,105.7941666
111.9000015,104.9224014
112.0999985,105.0340576
112.3000031,104.5141907
112.5,104.8905258
112.7000046,104.6707458
112.9000015,104.6249237
113.0999985,104.4747238
113.3000031,104.5319595
113.5,105.4467316
113.7000046,105.4945526
113.9000015,105.5159378
114.0999985,106.3625107
114.3000031,104.1945724
114.5,105.6787949
114.7000046,106.4682236
114.9000015,105.1525421
115.0999985,105.3688278
115.3000031,106.2331772
115.5,104.7513199
115.7000046,105.0407028
115.9000015,106.4654617
116.0999985,105.9136124
116.3000031,105.7813797
116.5,106.0878906
116.7000046,106.6606216
116.9000015,106.0527115
117.0999985,107.6026382
117.3000031,106.6051407
117.5,106.7587128
117.7000046,106.0890884
117.9000015,105.7179108
118.0999985,106.1091537
118.3000031,107.0253067
118.5,106.6697769
118.7000046,106.1571503
118.9000015,106.4923782
119.0999985,106.4795914
119.3000031,105.5627594
119.5,106.6284637
119.7000046,106.2228775
119.9000015,107.3075562
120.0999985,107.0752716
120.3000031,106.3446503
120.5,106.1465912
120.7000046,106.6329422
120.9000015,107.104744
121.0999985,107.5746002
121.3000031,105.7845001
121.5,106.7410202
121.7000046,106.7197647
121.9000015,106.5258026
122.0999985,106.5497437
122.3000031,106.5912552
122.5,106.411377
122.7000046,107.0770721
122.9000015,107.4986954
123.0999985,107.5788193
123.3000031,107.0459137
123.5,106.4309921
123.7000046,107.2827301
123.9000015,107.6926117
124.0999985,107.5131073
124.3000031,108.0714874
124.5,108.0572433
124.7000046,107.6991043
124.9000015,106.7307968
125.0999985,107.6135025
125.3000031,106.2572632
125.5,106.3178253
125.7000046,108.3835526
125.9000015,108.0015411
