OA + 10uM NB65 + TBS,
Time (s),Intensity (a.u.)
106.9000015,106.0233154
107.0999985,104.8568497
107.3000031,104.1617279
107.5,103.4062653
107.7000046,104.5946045
107.9000015,104.8560715
108.0999985,104.1982727
108.3000031,104.0018921
108.5,103.5356522
108.7000046,104.1585999
108.9000015,104.2284851
109.0999985,104.3353348
109.3000031,105.0278473
109.5,104.8247986
109.7000046,104.5278091
109.9000015,104.6920929
110.0999985,105.2020035
110.3000031,103.5853729
110.5,104.8465271
110.7000046,105.0708313
110.9000015,105.3798523
111.0999985,103.9859772
111.3000031,104.6538696
111.5,105.0328445
111.7000046,103.4468842
111.9000015,103.9295349
112.0999985,103.8565369
112.3000031,105.6857452
112.5,104.4337463
112.7000046,104.4319763
112.9000015,103.6361313
113.0999985,104.2481384
113.3000031,104.9227371
113.5,103.9216461
113.7000046,104.3960953
113.9000015,104.0157547
114.0999985,106.1607285
114.3000031,105.2288284
114.5,104.8783646
114.7000046,104.8833237
114.9000015,105.834877
115.0999985,104.8729935
115.3000031,104.5533829
115.5,104.3730392
115.7000046,105.4612274
115.9000015,104.1438446
116.0999985,105.9956436
116.3000031,105.6526489
116.5,105.5682755
116.7000046,105.4821396
116.9000015,105.3343811
117.0999985,106.0268402
117.3000031,105.3080597
117.5,105.4745102
117.7000046,106.4799576
117.9000015,104.446991
118.0999985,105.0712051
118.3000031,105.1859589
118.5,104.64785
118.7000046,105.6713104
118.9000015,106.4915085
119.0999985,105.5466156
119.3000031,104.6277084
119.5,105.1399994
119.7000046,104.8646011
119.9000015,105.6803589
120.0999985,103.8988037
120.3000031,104.7711029
120.5,105.2265167
120.7000046,104.1088562
120.9000015,104.9109192
121.0999985,104.5792542
121.3000031,105.8304367
121.5,106.3235474
121.7000046,103.4746933
121.9000015,105.5541611
122.0999985,104.4313965
122.3000031,105.6064682
122.5,106.3186111
122.7000046,105.0396118
122.9000015,105.6838455
123.0999985,105.9169235
123.3000031,105.3600006
123.5,105.6210251
123.7000046,106.2778549
123.9000015,106.0266037
124.0999985,104.7857361
124.3000031,104.3807144
124.5,105.7817688
124.7000046,105.2497711
124.9000015,106.302269
125.0999985,104.9063721
125.3000031,105.0904465
125.5,106.1810226
125.7000046,105.1979599
125.9000015,105.398407
126.0999985,105.4430695
126.3000031,105.5688553
126.5,105.3407211
126.7000046,105.8917923
126.9000015,105.6142426
127.0999985,105.0389633
127.3000031,106.5224304
127.5,104.6990356
127.7000046,104.9777374
127.9000015,106.3682022
128.1000061,104.8573303
128.3000031,105.5633163
128.5,105.7876816
128.6999969,105.5364151
128.9000092,105.9122086
129.1000061,105.6216507
129.3000031,105.4796753
129.5,105.4389038
129.6999969,104.9993134
129.9000092,104.9960632
130.1000061,105.989563
130.3000031,105.5024719
130.5,105.5453949
130.6999969,105.2422714
130.9000092,106.1379929
131.1000061,104.6123352
131.3000031,104.5877151
131.5,104.4783859
131.6999969,105.9037018
131.9000092,105.8411484
132.1000061,105.3249817
132.3000031,104.6961441
132.5,105.3676071
132.6999969,105.5157623
132.9000092,106.4419022
133.1000061,105.6231613
133.3000031,104.388176
133.5,104.4709549
133.6999969,105.7219086
133.9000092,104.8439941
134.1000061,105.8819809
134.3000031,106.0926208
134.5,104.3926239
134.6999969,105.1591263
134.9000092,105.7234573
135.1000061,106.9530334
135.3000031,104.6049347
135.5,105.7299271
135.6999969,104.5445175
135.9000092,105.7313461
136.1000061,105.8195038
136.3000031,105.2143097
136.5,105.3733902
136.6999969,105.6382828
136.9000092,104.8630524
137.1000061,104.794075
137.3000031,106.1364517
137.5,106.4586029
137.6999969,105.9671631
137.9000092,105.2387161
138.1000061,105.8871002
138.3000031,105.946434
138.5,106.5018768
