Proton Cal,
Time (s),Intensity (a.u.)
77.5,91.42564392
77.70000458,90.46472168
77.90000153,89.76030731
78.09999847,89.54043579
78.30000305,90.09728241
78.5,90.72026062
78.70000458,90.50003815
78.90000153,90.19569397
79.09999847,89.82360077
79.30000305,88.52371216
79.5,90.25989532
79.70000458,89.4597168
79.90000153,89.52922821
80.09999847,89.69185638
80.30000305,91.03366852
80.5,89.96142578
80.70000458,89.65398407
80.90000153,90.36745453
81.09999847,89.66633606
81.30000305,90.15679169
81.5,90.23890686
81.70000458,88.03748322
81.90000153,90.06154633
82.09999847,89.51132965
82.30000305,90.04452515
82.5,89.25236511
82.70000458,89.49814606
82.90000153,88.1943512
83.09999847,89.9682312
83.30000305,89.32939911
83.5,90.32080841
83.70000458,90.18160248
83.90000153,89.70941162
84.09999847,90.38601685
84.30000305,89.30888367
84.5,90.04682922
84.70000458,89.87011719
84.90000153,89.71392059
85.09999847,88.51089478
85.30000305,90.23862457
85.5,89.54273224
85.70000458,87.97919464
85.90000153,89.01027679
86.09999847,90.46842194
86.30000305,89.37683105
86.5,89.38694763
86.70000458,89.94759369
86.90000153,90.26528931
87.09999847,88.61136627
87.30000305,88.24039459
87.5,89.69504547
87.70000458,89.45817566
87.90000153,88.19595337
88.09999847,89.42854309
88.30000305,89.46511078
88.5,89.18651581
88.70000458,89.14868927
88.90000153,90.14974213
89.09999847,90.13532257
89.30000305,89.72503662
89.5,88.99344635
89.70000458,90.00617981
89.90000153,88.76593781
90.09999847,89.56232452
90.30000305,88.46157837
90.5,89.18736267
90.70000458,89.91387177
90.90000153,89.58463287
91.09999847,89.822052
91.30000305,90.38510895
91.5,89.47064209
91.70000458,89.45130157
91.90000153,90.2999115
92.09999847,89.76411438
92.30000305,90.10362244
92.5,88.95690155
92.70000458,89.15370941
92.90000153,89.7947464
93.09999847,88.9070282
93.30000305,89.8720932
93.5,89.36800385
93.70000458,90.09799194
93.90000153,89.53630066
94.09999847,89.63550568
94.30000305,89.6845932
94.5,89.73231506
94.70000458,90.3429718
94.90000153,88.20677185
95.09999847,11.33612347
95.30000305,0.040485829
95.5,0.101158261
95.70000458,0.123452976
95.90000153,-0.019719588
96.09999847,0.080490187
96.30000305,0.142358884
96.5,0.020362865
96.70000458,0.162278384
96.90000153,0.149003178
97.09999847,0.080155499
97.30000305,0.161280558
97.5,0.03944812
97.70000458,-0.00953298
97.90000153,0.17507343
98.09999847,0.119815484
98.30000305,0.209968507
98.5,0.145243272
98.70000458,0.137973175
98.90000153,0.147491172
99.09999847,0.048405055
99.30000305,0.067918964
99.5,0.141950399
99.70000458,0.166872814
99.90000153,0.149444059
100.0999985,0.078341506
100.3000031,0.118161403
100.5,0.215840742
100.7000046,0.069146045
100.9000015,0.181922928
101.0999985,0.177781284
101.3000031,0.080520161
101.5,0.120186292
101.7000046,0.111739792
101.9000015,0.069381125
102.0999985,0.130510286
102.3000031,0.209823743
102.5,0.101897329
102.7000046,0.136593357
102.9000015,0.101277106
103.0999985,0.137713939
103.3000031,0.170122489
103.5,0.170672447
103.7000046,0.104140632
103.9000015,0.102913477
104.0999985,0.093387149
104.3000031,0.090241849
104.5,0.146687478
104.7000046,0.179681227
104.9000015,0.132319555
105.0999985,0.159491211
105.3000031,0.202870622
105.5,0.071248271
105.7000046,0.124010503
105.9000015,0.183617264
106.0999985,0.133537412
106.3000031,0.131621584
106.5,0.048492372
106.7000046,0.138389155
106.9000015,0.157828286
107.0999985,0.195070565
107.3000031,0.069438934
107.5,0.13102065
107.7000046,0.138335824
107.9000015,0.009913062
108.0999985,0.10565342
108.3000031,0.050468855
108.5,0.109736636
108.7000046,0.097477287
108.9000015,0.087803163
109.0999985,0.188870564
109.3000031,0.058876056
109.5,0.158390746
109.7000046,0.09103138
109.9000015,0.187042847
110.0999985,0.098033451
110.3000031,0.379014552
110.5,0.029707678
110.7000046,5.124308109
110.9000015,95.77067566
111.0999985,95.04334259
111.3000031,95.9265976
111.5,94.58602142
111.7000046,94.58904266
111.9000015,94.92812347
112.0999985,95.47049713
112.3000031,95.20612335
112.5,94.65265656
112.7000046,95.45090485
112.9000015,95.89308167
113.0999985,96.72442627
113.3000031,96.42952728
113.5,96.53443909
113.7000046,97.7559967
113.9000015,97.9813385
114.0999985,98.36917877
114.3000031,98.95272827
114.5,99.20642853
114.7000046,98.36667633
114.9000015,99.29010773
115.0999985,98.49129486
115.3000031,99.48471069
115.5,99.66993713
115.7000046,99.46385956
115.9000015,98.86729431
116.0999985,99.78578949
116.3000031,99.14594269
116.5,99.31090546
116.7000046,97.52960205
116.9000015,100.4575806
117.0999985,98.73386383
117.3000031,97.98522949
117.5,98.25544739
117.7000046,96.89463043
117.9000015,98.09233093
118.0999985,97.99559021
118.3000031,97.24394989
118.5,97.33209229
118.7000046,95.95745087
118.9000015,97.81336975
119.0999985,96.42895508
119.3000031,97.64276886
119.5,95.80038452
119.7000046,94.78772736
119.9000015,95.50925446
120.0999985,95.69119263
120.3000031,95.20656586
120.5,95.9460907
120.7000046,96.07958984
120.9000015,96.72149658
121.0999985,95.77939606
121.3000031,96.05838013
121.5,95.46437836
121.7000046,95.48932648
121.9000015,95.63777924
122.0999985,95.97962952
122.3000031,95.62789154
122.5,95.72676086
122.7000046,94.95391083
