OA + 10ul TBS ,
Time (s),Intensity (a.u.)
57.10000229,106.0209198
57.29999924,106.529007
57.5,105.7420731
57.70000076,106.437355
57.90000153,105.4189377
58.10000229,106.464859
58.29999924,106.3656921
58.5,107.068222
58.70000076,107.1590271
58.90000153,106.7291412
59.10000229,106.0677872
59.29999924,106.0245132
59.5,105.9253616
59.70000076,104.9293289
59.90000153,107.2412338
60.10000229,106.909111
60.29999924,104.8405457
60.5,105.3545609
60.70000076,105.2472458
60.90000153,105.6272202
61.10000229,106.567421
61.29999924,105.9929962
61.5,107.8322601
61.70000076,106.9942093
61.90000153,104.4167938
62.10000229,105.8057785
62.29999924,106.5188065
62.5,105.3647156
62.70000076,106.1730118
62.90000153,105.4242859
63.10000229,106.867218
63.29999924,106.0319824
63.5,106.477066
63.70000076,106.3585434
63.90000153,105.8005524
64.09999847,105.7633133
64.30000305,107.1592102
64.5,106.8683624
64.70000458,106.3633881
64.90000153,107.8237152
65.09999847,107.4680862
65.30000305,107.9197617
65.5,106.3519745
65.70000458,106.6637497
65.90000153,106.6983871
66.09999847,108.0166397
66.30000305,107.4356689
66.5,107.3338318
66.70000458,105.4769363
66.90000153,105.8800812
67.09999847,107.6743011
67.30000305,107.6476669
67.5,106.7003555
67.70000458,107.670929
67.90000153,108.364296
68.09999847,106.6798859
68.30000305,106.756897
68.5,108.3634338
68.70000458,106.8391113
68.90000153,106.6937408
69.09999847,106.4596329
69.30000305,107.0175781
69.5,108.5594177
69.70000458,107.0671005
69.90000153,108.2184448
70.09999847,108.6441498
70.30000305,107.3862228
70.5,108.5196838
70.70000458,108.0509033
70.90000153,108.9516144
71.09999847,108.9258881
71.30000305,107.8491287
71.5,107.6924591
71.70000458,108.8642883
71.90000153,108.2155457
72.09999847,106.9646683
72.30000305,107.3363647
72.5,108.7593994
72.70000458,108.4148788
72.90000153,108.1333389
73.09999847,108.5389633
73.30000305,108.1512985
73.5,108.319252
73.70000458,108.5681
73.90000153,107.9584885
74.09999847,108.1235352
74.30000305,109.0980377
74.5,109.8412476
74.70000458,108.6196823
74.90000153,108.1208878
75.09999847,109.8972321
75.30000305,108.2965317
75.5,107.9750443
75.70000458,109.2687073
75.90000153,110.7142868
76.09999847,110.7940216
76.30000305,110.5543365
76.5,112.0689697
76.70000458,112.9044952
76.90000153,112.5732956
77.09999847,113.1372528
77.30000305,110.985321
77.5,113.1562347
77.70000458,112.286026
77.90000153,111.7871094
78.09999847,110.4783249
78.30000305,110.5602722
78.5,110.554306
78.70000458,109.8628082
78.90000153,109.3343201
79.09999847,110.3860321
79.30000305,109.6259766
79.5,110.2949448
79.70000458,109.9264679
79.90000153,111.8824921
80.09999847,109.4640732
80.30000305,109.7802887
80.5,110.2012024
80.70000458,110.3427734
80.90000153,110.216362
81.09999847,111.2887421
81.30000305,110.0813522
81.5,108.5820694
81.70000458,109.0399704
81.90000153,110.4702911
82.09999847,109.6339035
82.30000305,109.1283646
82.5,108.9857635
82.70000458,109.4612808
82.90000153,108.6617355
83.09999847,109.6129761
83.30000305,109.2766266
83.5,108.654335
83.70000458,109.0765228
83.90000153,110.1348267
84.09999847,109.3463287
84.30000305,109.6188507
