GDP + 10ul TBS,
Time (s),Intensity (a.u.)
53.29999924,79.44949341
53.5,79.15735626
53.70000076,79.81277466
53.90000153,79.28182983
54.10000229,79.59430695
54.29999924,78.70018005
54.5,80.10760498
54.70000076,79.78333282
54.90000153,79.09197235
55.10000229,80.20883179
55.29999924,79.63332367
55.5,79.65843201
55.70000076,79.51409149
55.90000153,79.88647461
56.10000229,79.30522919
56.29999924,80.4956665
56.5,79.41572571
56.70000076,79.27600098
56.90000153,80.52748108
57.10000229,79.43669891
57.29999924,79.03117371
57.5,79.23966217
57.70000076,79.19689178
57.90000153,79.55969238
58.10000229,78.68025208
58.29999924,79.61666107
58.5,79.14032745
58.70000076,79.7232132
58.90000153,79.2462616
59.10000229,80.04932404
59.29999924,81.97736359
59.5,80.76874542
59.70000076,79.73892975
59.90000153,79.21424103
60.10000229,79.71871185
60.29999924,79.67121124
60.5,78.92350006
60.70000076,79.96661377
60.90000153,78.71464539
61.10000229,78.88795471
61.29999924,80.17508698
61.5,79.42996216
61.70000076,79.98735809
61.90000153,79.65200043
62.10000229,79.78878784
62.29999924,79.28411865
62.5,79.71942902
62.70000076,78.61657715
62.90000153,79.24861145
63.10000229,79.616745
63.29999924,79.15977478
63.5,79.49285889
63.70000076,79.79282379
63.90000153,79.38665771
64.09999847,80.69509888
64.30000305,79.9129715
64.5,80.87527466
64.70000458,80.70135498
64.90000153,79.44842529
65.09999847,80.70684814
65.30000305,79.48738098
65.5,80.50530243
65.70000458,80.40599823
65.90000153,80.24502563
66.09999847,79.77185059
66.30000305,79.29810333
66.5,79.71647644
66.70000458,80.05443573
66.90000153,80.44166565
67.09999847,81.66630554
67.30000305,80.01596832
67.5,81.06427002
67.70000458,80.31004333
67.90000153,80.00119019
68.09999847,79.43169403
68.30000305,80.30899048
68.5,80.77539825
68.70000458,80.62218475
68.90000153,81.31028748
69.09999847,80.35652924
69.30000305,79.26468658
69.5,80.76698303
69.70000458,80.93108368
69.90000153,80.48484802
70.09999847,80.65364075
70.30000305,80.25937653
70.5,80.00244904
70.70000458,80.66215515
70.90000153,79.29383087
71.09999847,79.46375275
71.30000305,80.057724
71.5,80.00634003
71.70000458,80.53261566
71.90000153,81.355896
72.09999847,80.83251953
72.30000305,80.93206024
72.5,79.5747757
72.70000458,80.98937225
72.90000153,81.46430969
73.09999847,80.34661102
73.30000305,80.85321808
73.5,79.48079681
73.70000458,80.21587372
73.90000153,79.28378296
74.09999847,80.35713959
74.30000305,80.94294739
74.5,80.03479004
74.70000458,80.31448364
74.90000153,78.85488129
75.09999847,80.41858673
75.30000305,79.84073639
75.5,80.97063446
75.70000458,80.10919952
75.90000153,81.52607727
76.09999847,80.22172546
76.30000305,81.19158936
76.5,81.25314331
76.70000458,80.60105133
76.90000153,80.39490509
77.09999847,81.39955902
77.30000305,80.29689789
77.5,80.01748657
77.70000458,80.99626923
77.90000153,81.17180634
78.09999847,79.69704437
78.30000305,80.51425934
78.5,80.51371002
78.70000458,81.1438446
78.90000153,81.05927277
79.09999847,80.66845703
79.30000305,79.82956696
